what,kind,bundleId,bundleVersion,description,time
opened,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308343885640
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1308343885841
activated,editor,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.PythonEditor",1308343885849
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308343966172
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308343966639
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308343966870
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308343967054
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findIncremental",1308343968870
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1308343976431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308343981967
started,bundle,com.python.pydev.debug,2.1.0.2011052613,"com.python.pydev.debug",1308344046394
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1308344059707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344117448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.cocoa.closeDialog",1308344117451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344127244
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344195973
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344197210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344198488
executed,command,com.python.pydev.refactoring,2.1.0.2011052613,"com.python.pydev.refactoring.actions.PyFindAllOccurrences",1308344198515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344199241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344321991
executed,command,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.actions.togglecomment",1308344323062
executed,command,org.python.pydev,2.1.0.2011052613,"org.python.pydev.editor.actions.togglecomment",1308344324183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308344327405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344339176
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344348941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344350204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344350829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344352141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344397525
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1308344401568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308344403054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344404935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344406248
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344409125
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344420428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344422777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308344438898
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344439334
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344441068
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344441285
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344441460
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344441620
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344441788
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344445196
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344445428
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344445597
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344445780
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344445956
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1308344446956
activated,perspective,org.eclipse.wst.jsdt.ui,,"org.eclipse.wst.jsdt.ui.JavaPerspective",1308344542142
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1308344542143
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1308344542144
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1308344542144
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1308344542145
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1308344542145
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1308344542146
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1308344542146
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1308344542147
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1308344542147
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1308344542148
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1308344542149
